"Type","KeyCite Treatment","KeyCite URL","Title","Document URL","Court Line","Filed Date","Citation","Cite Caveat","Parallel Cite","Docket Num","Summary",
"Cases","","","Kennedy v. Jefferson County Hospital","https://www.westlaw.com/Document/I2b4133903d5411e7bffecab88ce1f178/View/FullText.html?listSource=Search&list=CASE&rank=1&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","May 18, 2017","689 Fed.Appx. 371","","2017 WL 2210660","16-60805","Jerry Kennedy was fired by Jefferson County Hospital. Kennedy filed for unemployment benefits, which were denied when an Administrative Law Judge from the Mississippi Department of Employment Security (MDES) found that Kennedy had been terminated for misconduct. His appeal of that decision to the MDES Board of Review was unsuccessful. Kennedy did...",
"Cases","","","Sasol North America, Incorporated v. GTLPetrol, L.L.C.","https://www.westlaw.com/Document/I419451900edd11e79c1dcfeada4fe8e0/View/FullText.html?listSource=Search&list=CASE&rank=2&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","March 20, 2017","682 Fed.Appx. 312","","2017 WL 1063462","16-20122","LITIGATION - Jurisdiction. Competitor's claims seeking declaratory judgment that it did not misappropriate trade secrets or breach confidentiality agreement were not ripe for review.",
"Cases","","","Phillips v. Home Path Financial, L.P.","https://www.westlaw.com/Document/Ia21890a0f48711e681b2a67ea2e2f62b/View/FullText.html?listSource=Search&list=CASE&rank=3&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","February 15, 2017","676 Fed.Appx. 358","","2017 WL 629270","15-11290","Caron Sue Phillips filed a pro se complaint in Texas state court against Home Path Financial, L.P. (Home Path) and JPMorgan Chase Bank (Chase), alleging that the property located at 12051 Vista Ranch Way, Fort Worth, Texas, was improperly sold following foreclosure. Specifically, she contended that Chase, the original mortgagee of the property,...",
"Cases","","","United States v. Mire","https://www.westlaw.com/Document/I4ab918e08a9a11e68bf9cabfb8a03530/View/FullText.html?listSource=Search&list=CASE&rank=4&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","September 30, 2016","838 F.3d 621","","2016 WL 5746308","15-50128","LITIGATION - Attachment and Garnishment. As a matter of first impression, government must be allowed to intervene in action directed at property subject to order of restitution.",
"Cases","","","Igwe v. Safeco Insurance Company of Indiana","https://www.westlaw.com/Document/Ic8fb37d0cc4b11e7b393b8b5a0417f3d/View/FullText.html?listSource=Search&list=CASE&rank=5&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","December 12, 2016","Not Reported in F.3d","","2016 WL 10571682","16-51013","This court must examine the basis of its jurisdiction, on its own motion if necessary. Hill v. City of Seven Points, 230 F.3d 167, 169 (5th Cir. 2000). Pursuant to 28 U.S.C. §2107(a) and Federal Rule of Appellate Procedure 4(a)(1)(A), the notice of appeal in a civil case must be filed within thirty days of entry of judgment. In this...",
"Cases","","","Claimant ID 100236236 v. BP Exploration & Production, Incorporated","https://www.westlaw.com/Document/I83deaee05c6911e7bcf2cc0f37ee205d/View/FullText.html?listSource=Search&list=CASE&rank=6&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","June 27, 2017","699 Fed.Appx. 308","","2017 WL 2791395","16-30521","COMMERCIAL LAW - Settlements. District court did not abuse its discretion in declining to review denial of claim under oil spill settlement agreement based on factual dispute.",
"Cases","","","In Matter of Issuance of Subpoenas Depositions of Bennett","https://www.westlaw.com/Document/I7514c2106f6a11e69981dc2250b07c82/View/FullText.html?listSource=Search&list=CASE&rank=7&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (14th Dist.).","August 30, 2016","502 S.W.3d 373","","2016 WL 4533670","14-16-00004-CV","LITIGATION - Discovery. Trial court could not quash or limit depositions for irrelevancy following letters rogatory issued by out-of-state court requesting depositions.",
"Cases","","","Thompson v. Thompson","https://www.westlaw.com/Document/I5ce6d070626c11e794a1f7ff5c621124/View/FullText.html?listSource=Search&list=CASE&rank=8&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Dallas.","June 30, 2017","Not Reported in S.W.3d","","2017 WL 2871423","05-16-00026-CV","Husband appeals a judgment in favor of Wife for $834,700 in unpaid contractual alimony. In three issues, Husband generally contends (1) the trial court abused its discretion in modifying its judgment, (2) the alimony provision violated the Texas Family Code, and (3) the evidence is legally and factually insufficient to support the award of...",
"Cases","","","AME & FE Investments, Ltd. v. NEC Networks, LLC","https://www.westlaw.com/Document/I685858f0ce5211e7929ecf6e705a87cd/View/FullText.html?listSource=Search&list=CASE&rank=9&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, San Antonio.","November 20, 2017","--- S.W.3d ----","","2017 WL 5562590","04-17-00332-CV","LITIGATION - Appeals. Trial court was required to determine value of limited liability company shares in order to determine bond needed to enforce judgment pending appeal.",
"Cases","","","XTO Energy Inc. v. Goodwin","https://www.westlaw.com/Document/I51a8ace0b45811e79c8f8bb0457c507d/View/FullText.html?listSource=Search&list=CASE&rank=10&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Tyler.","October 18, 2017","--- S.W.3d ----","","2017 WL 4675136","12-16-00068-CV","REAL PROPERTY - Mineral Rights and Interests. Oil and gas lessor had ownership interest in subsurface of his property at depth of lessee's cased wellbore intrusion, supporting trespass claim.",
